parent_notice,ark_periodique,ark,numero,gallica_url,text_brut,ark,date
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k42329974,01 janvier 1932,https://gallica.bnf.fr/ark:/12148/bpt6k42329974,https://gallica.bnf.fr/ark:/12148/bpt6k42329974.texteBrut,ark:/12148/bpt6k42329974,1932-01-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k4232998j,01 février 1932,https://gallica.bnf.fr/ark:/12148/bpt6k4232998j,https://gallica.bnf.fr/ark:/12148/bpt6k4232998j.texteBrut,ark:/12148/bpt6k4232998j,1932-02-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k4232999z,01 mars 1932,https://gallica.bnf.fr/ark:/12148/bpt6k4232999z,https://gallica.bnf.fr/ark:/12148/bpt6k4232999z.texteBrut,ark:/12148/bpt6k4232999z,1932-03-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k42330001,01 avril 1932,https://gallica.bnf.fr/ark:/12148/bpt6k42330001,https://gallica.bnf.fr/ark:/12148/bpt6k42330001.texteBrut,ark:/12148/bpt6k42330001,1932-04-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k4233001f,01 mai 1932,https://gallica.bnf.fr/ark:/12148/bpt6k4233001f,https://gallica.bnf.fr/ark:/12148/bpt6k4233001f.texteBrut,ark:/12148/bpt6k4233001f,1932-05-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k4233002v,01 juin 1932,https://gallica.bnf.fr/ark:/12148/bpt6k4233002v,https://gallica.bnf.fr/ark:/12148/bpt6k4233002v.texteBrut,ark:/12148/bpt6k4233002v,1932-06-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k42330038,01 juillet 1932,https://gallica.bnf.fr/ark:/12148/bpt6k42330038,https://gallica.bnf.fr/ark:/12148/bpt6k42330038.texteBrut,ark:/12148/bpt6k42330038,1932-07-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k4233004p,01 août 1932,https://gallica.bnf.fr/ark:/12148/bpt6k4233004p,https://gallica.bnf.fr/ark:/12148/bpt6k4233004p.texteBrut,ark:/12148/bpt6k4233004p,1932-08-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k42330053,01 septembre 1932,https://gallica.bnf.fr/ark:/12148/bpt6k42330053,https://gallica.bnf.fr/ark:/12148/bpt6k42330053.texteBrut,ark:/12148/bpt6k42330053,1932-09-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k4233006h,01 octobre 1932,https://gallica.bnf.fr/ark:/12148/bpt6k4233006h,https://gallica.bnf.fr/ark:/12148/bpt6k4233006h.texteBrut,ark:/12148/bpt6k4233006h,1932-10-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k4233007x,01 novembre 1932,https://gallica.bnf.fr/ark:/12148/bpt6k4233007x,https://gallica.bnf.fr/ark:/12148/bpt6k4233007x.texteBrut,ark:/12148/bpt6k4233007x,1932-11-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bpt6k4233009r,01 décembre 1932,https://gallica.bnf.fr/ark:/12148/bpt6k4233009r,https://gallica.bnf.fr/ark:/12148/bpt6k4233009r.texteBrut,ark:/12148/bpt6k4233009r,1932-12-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5384942j,01 janvier 1927,https://gallica.bnf.fr/ark:/12148/bd6t5384942j,https://gallica.bnf.fr/ark:/12148/bd6t5384942j.texteBrut,ark:/12148/bd6t5384942j,1927-01-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5384943x,01 février 1927,https://gallica.bnf.fr/ark:/12148/bd6t5384943x,https://gallica.bnf.fr/ark:/12148/bd6t5384943x.texteBrut,ark:/12148/bd6t5384943x,1927-02-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t53849449,01 mars 1927,https://gallica.bnf.fr/ark:/12148/bd6t53849449,https://gallica.bnf.fr/ark:/12148/bd6t53849449.texteBrut,ark:/12148/bd6t53849449,1927-03-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5384945p,01 avril 1927,https://gallica.bnf.fr/ark:/12148/bd6t5384945p,https://gallica.bnf.fr/ark:/12148/bd6t5384945p.texteBrut,ark:/12148/bd6t5384945p,1927-04-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t53849462,01 mai 1927,https://gallica.bnf.fr/ark:/12148/bd6t53849462,https://gallica.bnf.fr/ark:/12148/bd6t53849462.texteBrut,ark:/12148/bd6t53849462,1927-05-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5384947f,01 juin 1927,https://gallica.bnf.fr/ark:/12148/bd6t5384947f,https://gallica.bnf.fr/ark:/12148/bd6t5384947f.texteBrut,ark:/12148/bd6t5384947f,1927-06-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5384948t,01 juillet 1927,https://gallica.bnf.fr/ark:/12148/bd6t5384948t,https://gallica.bnf.fr/ark:/12148/bd6t5384948t.texteBrut,ark:/12148/bd6t5384948t,1927-07-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t53849496,01 août 1927,https://gallica.bnf.fr/ark:/12148/bd6t53849496,https://gallica.bnf.fr/ark:/12148/bd6t53849496.texteBrut,ark:/12148/bd6t53849496,1927-08-01
